DataPointNumber,DataSpectralPassBand,DataFluxPublishedValue,DataFluxPublishedStatErr,DataFluxPublishedUnit,DataSpectralValue,DataFluxValue,DataFluxStatErr,DataFluxUnit,DataRefcode,DataSignificance,DataSpectralPublishedValue,DataFrequencyMode,DataTargetPos,DataSpatialMode,DataQualifiers,DataComments
1,"EGRET (0.1-5 GeV)   ",2.72E-11,4.42E-12,"Jy                  ",6.17E23,2.72E-11,4.42E-12,Jy,1995ApJS..101..259T,1 sigma," 2.55      GeV       "," Broad-band measurement",122900. +020600. (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
2,"40-100 keV INTEGRAL ",8.01E-11,4.71E-12,"erg cm^-2^ s^-1^    ",1.69E19,4.74E-7,2.79E-8,Jy,2006ApJ...636..765B,uncertainty,"      70   keV       "," Broad-band measurement",187.293 2.027 (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
3,"40-100 keV INTEGRAL ",6.29E-11,1.7E-12,"erg cm^-2^ s^-1^    ",1.69E19,3.72E-7,1.01E-8,Jy,2006ApJ...638..642B,uncertainty,"      70   keV       "," Broad-band measurement",12 29 07 +02 03 09 (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
4,"40-100 keV INTEGRAL ",11.5,0.3," milliCrab          ",1.69E19,6.41E-7,1.67E-8,Jy,2007ApJS..170..175B,uncertainty,"      70   keV       "," Broad-band measurement",187.280 +02.049 (J2000)," Flux integrated from map","Time-averaged flux                      ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,"400-100 keV NTEGRAL ",1.056E-10,,"erg/cm^2^/s         ",1.69E19,6.25E-7,,Jy,2009A&A...505..417B,no uncertainty reported,"     70.00 keV       "," Broad-band measurement",187.27790 2.05239 (J2000)," Modelled datum","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
6,"20-100 keV INTEGRAL ",1.8479E-10,," erg/s/cm^2^        ",1.45E19,1.27E-6,,Jy,2009MNRAS.399..944M,no uncertainty reported,"     60.00 keV       "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux integrated from map","                                        ",Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
7,17-60 keV (INTEGRAL),1.383E-10,2.3E-12,"erg s^-1^ cm^-2^    ",9.31E18,1.49E-6,2.47E-8,Jy,2007A&A...462...57S,uncertainty,"   38.50   keV       "," Broad-band measurement",," Flux integrated from map","                                        ",Averaged new and previously published data; NED frequencyassigned to mid-point of band in keV
8,"15-55 keV (Swift)   ",1.831E-10,2.1E-12,"erg/cm^2^/s         ",8.46E18,2.16E-6,2.48E-8,Jy,2009ApJ...699..603A,uncertainty,"     35.00 keV       "," Broad-band measurement",187.283 +02.047 (J2000)," Flux integrated from map","                                        ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,20-40 keV (INTEGRAL),5.68E-11,2.27E-12,"erg cm^-2^ s^-1^    ",7.25E18,7.83E-7,3.13E-8,Jy,2006ApJ...636..765B,uncertainty,"      30   keV       "," Broad-band measurement",187.293 2.027 (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
10,20-40 keV (INTEGRAL),5.5E-11,1.5E-12,"erg cm^-2^ s^-1^    ",7.25E18,7.59E-7,2.07E-8,Jy,2006ApJ...638..642B,uncertainty,"      30   keV       "," Broad-band measurement",12 29 07 +02 03 09 (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
11,20-40 keV (INTEGRAL),10.1,0.2," milliCrab          ",7.25E18,1.05E-6,2.09E-8,Jy,2007ApJS..170..175B,uncertainty,"      30   keV       "," Broad-band measurement",187.280 +02.049 (J2000)," Flux integrated from map","Time-averaged flux                      ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
12,20-40 keV (INTEGRAL),7.5E-11,,"erg/cm^2^/s         ",7.25E18,1.03E-6,,Jy,2009A&A...505..417B,no uncertainty reported,"     30.00 keV       "," Broad-band measurement",187.27790 2.05239 (J2000)," Modelled datum","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
13,"F_2-10_ keV         ",5.72E-6,5.72E-7,Jy,1.45E18,5.72E-6,5.72E-7,Jy,1989MNRAS.240..833T,typical accuracy,"    6.0    keV       "," Broad-band measurement",," Flux integrated from map","Energy index 0.53 + 3.7                 ",From new raw data; NED frequency assigned to mid-point ofband in keV
14,"2-10 keV (XMM)      ",7.87E-11,,"erg cm^-2^ s^-1^    ",1.45E18,5.42E-6,,Jy,2005A&A...432...15P,no uncertainty reported,"       6   keV       "," Broad-band measurement",12 29 06.7 +02 03 08 (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
15,"3-9 keV (BeppoSAX)  ",1.17E-13,,"W m^-2^             ",1.45E18,8.06E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 1997.01.13          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
